"","RINGS","AROMATIC","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","MF","MW","C","Cl","H","N","O","S","F","Br","B","P","I","Si"
"CHEMBL2137530",4,4,0,3,0,0,0,0,0,0,0,0,0,0,"C21H21N4",329.41824,21,0,21,4,0,0,0,0,0,0,0,0
"CHEMBL6068076",10,7,0,1,1,0,0,0,0,0,0,0,0,0,"C41H29ClF9N9O4S",950.2304888,41,1,29,9,4,1,9,0,0,0,0,0
"CHEMBL2107774",2,2,0,1,0,0,0,0,0,1,0,0,0,0,"C16H12F4NO2",326.2655928,16,0,12,1,2,0,4,0,0,0,0,0
"CHEMBL1205",4,2,0,2,1,0,2,0,0,0,0,0,0,0,"C32H46N3O4S",568.79034,32,0,46,3,4,1,0,0,0,0,0,0
"CHEMBL4545915",5,4,0,3,0,0,0,0,0,0,0,0,0,0,"C17H16N7",318.35584,17,0,16,7,0,0,0,0,0,0,0,0
"CHEMBL4650285",5,3,0,1,2,0,0,0,0,0,0,1,0,0,"C22H28N7O2S",454.56842,22,0,28,7,2,1,0,0,0,0,0,0
"CHEMBL5800160",7,3,0,3,0,0,0,0,0,0,0,2,0,0,"C24H17F3N4O4",482.4113896,24,0,17,4,4,0,3,0,0,0,0,0
"CHEMBL5314455",8,4,0,1,1,0,0,0,0,1,0,0,0,0,"C31H24Cl2FN4O3",590.4516632,31,2,24,4,3,0,1,0,0,0,0,0
"CHEMBL6068011",8,6,0,1,4,1,0,0,0,1,0,0,0,0,"C53H58ClF3N6O10PS3",1158.6787916,53,1,58,6,10,3,3,0,0,1,0,0
"CHEMBL1823872",5,5,3,14,0,0,3,0,0,1,0,0,0,0,"C76H105N18O19S2",1638.8861,76,0,105,18,19,2,0,0,0,0,0,0
"CHEMBL4594446",3,2,0,0,1,0,1,0,0,0,0,0,0,0,"C14H8Cl2NO4S",357.18862,14,2,8,1,4,1,0,0,0,0,0,0
"CHEMBL1199307",2,2,0,0,2,0,0,0,0,0,2,0,0,0,"C22H32N4O4",416.51388,22,0,32,4,4,0,0,0,0,0,0,0
"CHEMBL2103840",4,3,0,1,1,0,1,0,0,0,0,0,0,0,"C21H29N6O2",397.49396,21,0,29,6,2,0,0,0,0,0,0,0
"CHEMBL237500",5,4,1,0,4,0,0,0,0,0,0,0,0,0,"C25H30N8O2",474.5581,25,0,30,8,2,0,0,0,0,0,0,0
"CHEMBL5856622",3,2,0,2,1,0,0,0,0,0,1,0,0,1,"C18H22N5O3",356.39898,18,0,22,5,3,0,0,0,0,0,0,0
"CHEMBL4297619",3,3,0,2,0,0,0,0,1,1,0,0,0,0,"C17H15N4O4",339.3254,17,0,15,4,4,0,0,0,0,0,0,0
"CHEMBL3971095",10,6,0,4,3,0,0,0,0,0,2,1,0,0,"C49H55FN10O7S",947.0872032,49,0,55,10,7,1,1,0,0,0,0,0
"CHEMBL887",2,1,0,1,0,0,0,0,0,0,0,0,1,0,"C12H14N",172.24626,12,0,14,1,0,0,0,0,0,0,0,0
"CHEMBL5199065",3,2,1,1,0,0,0,0,0,0,0,0,0,0,"C16H27N5",289.41908,16,0,27,5,0,0,0,0,0,0,0,0
"CHEMBL3112741",3,0,0,2,1,0,0,0,0,0,0,0,0,0,"C12H20N4O6S",348.3754,12,0,20,4,6,1,0,0,0,0,0,0
"CHEMBL2013174",9,3,0,3,2,0,0,0,0,1,1,3,0,0,"C45H60ClN7O9S",910.5174,45,1,60,7,9,1,0,0,0,0,0,0
"CHEMBL591118",4,1,1,0,2,0,0,0,0,0,0,2,0,0,"C20H30FN3O3",379.4689032,20,0,30,3,3,0,1,0,0,0,0,0
